id,bbox,inside_chihuahua,pasture_frac,mean_dem
1,"[-108.7, 31.2102, -108.59484, 31.3]",True,0.7951284421940297,1531.474853515625
2,"[-107.5529, 31.6551, -107.4471, 31.7449]",True,0.8428573643625761,1209.00634765625
3,"[-108.1, 31.3702, -107.99474, 31.46]",True,0.9429980413214064,1267.119873046875
4,"[-108.2, 30.4002, -108.0958, 30.49]",True,0.929511411433334,1720.5938720703125
5,"[-108.0958, 30.4002, -107.9916, 30.49]",True,0.7293027995834022,1605.55712890625
6,"[-108.2, 30.3104, -108.0958, 30.4002]",True,0.7643718859925421,1696.516357421875
7,"[-108.0958, 30.3104, -107.9916, 30.4002]",True,0.7044589219480891,1621.428466796875
8,"[-106.654818, 29.544947, -106.551518, 29.634747]",True,0.9335830833893449,1702.16552734375
9,"[-106.551518, 29.544947, -106.448218, 29.634747]",True,0.9593139619904532,1734.533203125
10,"[-106.448218, 29.544947, -106.344918, 29.634747]",True,0.7459317319333517,1638.2021484375
11,"[-106.551518, 29.455147, -106.448218, 29.544947]",True,0.8309309362574635,1824.693115234375
12,"[-106.3, 27.5402, -106.1985, 27.63]",True,0.8266009379822049,1698.94580078125
13,"[-106.3, 27.4504, -106.1985, 27.5402]",True,0.8595516450252542,1546.18994140625
14,"[-106.1985, 27.4504, -106.097, 27.5402]",True,0.8964239296200516,1663.37939453125
15,"[-106.097, 27.4504, -105.9955, 27.5402]",True,0.9535929769064595,1674.697265625
16,"[-107.507343, 28.851284, -107.404737, 28.941116]",True,0.25421597040659066,1975.6298828125
